genres,N
Comedy-Drama-SciFi-end,4
Comedy-Drama-Sport-end,6
Comedy-Drama-Thriller-end,2
Comedy-Drama-War-end,4
Comedy-end,205
Comedy-Family-end,26
Comedy-Family-Fantasy-end,20
Comedy-Family-Fantasy-Horror-Mystery-end,1
Comedy-Family-Fantasy-Musical-end,1
Comedy-Family-Fantasy-Music-Romance-end,1
Comedy-Family-Fantasy-Romance-end,5
Comedy-Family-Fantasy-SciFi-end,1
Comedy-Family-Fantasy-Sport-end,1
Comedy-Family-Musical-Romance-end,1
Comedy-Family-Musical-Romance-Short-end,1
Comedy-Family-Music-end,1
Comedy-Family-Music-Musical-end,1
Comedy-Family-Music-Romance-end,1
Comedy-Family-Romance-end,13
Comedy-Family-Romance-SciFi-end,1
Comedy-Family-Romance-Sport-end,1
Comedy-Family-SciFi-end,5
Comedy-Family-Sport-end,2
Comedy-Fantasy-end,16
Comedy-Fantasy-Horror-end,10
Comedy-Fantasy-Horror-Musical-end,1
Comedy-Fantasy-Horror-Mystery-end,1
Comedy-Fantasy-Horror-Romance-end,2
Comedy-Fantasy-Horror-Thriller-end,8
Comedy-Fantasy-Musical-SciFi-end,1
Comedy-Fantasy-Mystery-end,1
Comedy-Fantasy-Romance-end,13
Comedy-Fantasy-SciFi-end,3
Comedy-Fantasy-Thriller-end,1
Comedy-History-end,1
Comedy-Horror-end,18
Comedy-Horror-Musical-end,2
Comedy-Horror-Musical-SciFi-end,1
Comedy-Horror-Mystery-end,2
Comedy-Horror-Mystery-Thriller-end,1
Comedy-Horror-Romance-end,2
Comedy-Horror-SciFi-end,7
Comedy-Horror-SciFi-Thriller-end,1
Comedy-Horror-Thriller-end,6
Comedy-Musical-end,5
Comedy-Musical-Romance-end,7
Comedy-Music-end,17
Comedy-Music-Romance-end,9
Comedy-Music-SciFi-end,1
Comedy-Mystery-end,2
Comedy-Mystery-Romance-end,2
Comedy-Mystery-SciFi-Thriller-end,1
Comedy-Mystery-Thriller-end,1
Comedy-Romance-end,157
Comedy-Romance-SciFi-end,5
Comedy-Romance-SciFi-Thriller-end,1
Comedy-Romance-Sport-end,7
Comedy-Romance-Thriller-end,2
Comedy-SciFi-end,9
Comedy-SciFi-Thriller-end,1
Comedy-Short-end,1
Comedy-Sport-end,15
Comedy-Thriller-end,1
Comedy-War-end,3
Comedy-Western-end,4
Crime-Documentary-Drama-end,1
Crime-Documentary-end,2
Crime-Documentary-News-end,1
Crime-Documentary-War-end,2
Crime-Drama-end,62
Crime-Drama-Fantasy-end,1
Crime-Drama-Fantasy-Mystery-end,1
Crime-Drama-Fantasy-Romance-end,1
Crime-Drama-Film-Noir-end,1
Crime-Drama-Film-Noir-Mystery-Thriller-end,1
Crime-Drama-History-end,1
Crime-Drama-History-Mystery-Thriller-end,1
Crime-Drama-History-Romance-end,1
Crime-Drama-Horror-end,1
Crime-Drama-Horror-Mystery-Thriller-end,3
Crime-Drama-Horror-Thriller-end,5
Crime-Drama-Musical-end,1
Crime-Drama-Musical-Romance-end,1
Crime-Drama-Musical-Romance-Thriller-end,1
Crime-Drama-Music-end,2
Crime-Drama-Music-Mystery-Thriller-end,1
Crime-Drama-Music-Romance-end,1
Crime-Drama-Music-Thriller-end,1
Crime-Drama-Mystery-end,10
Crime-Drama-Mystery-Romance-end,1
Crime-Drama-Mystery-Romance-Thriller-end,1
Crime-Drama-Mystery-SciFi-Thriller-end,1
Crime-Drama-Mystery-Thriller-end,53
Crime-Drama-Mystery-Thriller-Western-end,1
Crime-Drama-Romance-end,12
Crime-Drama-Romance-Thriller-end,16
Crime-Drama-SciFi-Thriller-end,1
Crime-Drama-Sport-end,2
Crime-Drama-Thriller-end,98
Crime-Drama-Western-end,2
Crime-Fantasy-Horror-end,1
Crime-Film-Noir-Thriller-end,1
Crime-Horror-end,1
Crime-Horror-Music-Thriller-end,1
Crime-Horror-Mystery-Thriller-end,5
Crime-Horror-Thriller-end,5
Crime-Mystery-Thriller-end,14
Crime-Romance-Thriller-end,2
Crime-Thriller-end,18
Crime-Thriller-War-end,1
Documentary-Drama-end,3
Documentary-Drama-History-News-end,1
Documentary-Drama-Sport-end,1
Documentary-Drama-War-end,1
Documentary-end,51
Documentary-Family-end,1
Documentary-Family-Music-end,1
Documentary-History-end,2
Documentary-History-Music-end,2
Documentary-History-Sport-end,1
Documentary-Music-end,10
Documentary-News-end,1
Documentary-Sport-end,5
Documentary-War-end,4
Drama-end,233
Drama-Family-end,18
Drama-Family-Fantasy-end,3
Drama-Family-Fantasy-Romance-end,3
Drama-Family-History-Musical-end,1
Drama-Family-Musical-end,1
Drama-Family-Musical-Romance-end,3
Drama-Family-Music-end,3
Drama-Family-Music-Musical-end,1
Drama-Family-Music-Romance-end,1
Drama-Family-Romance-end,4
Drama-Family-Sport-end,4
Drama-Family-Western-end,1
Drama-Fantasy-end,9
Drama-Fantasy-Horror-end,3
Drama-Fantasy-Horror-Mystery-end,2
Drama-Fantasy-Horror-Mystery-Thriller-end,2
Drama-Fantasy-Horror-Romance-end,1
Drama-Fantasy-Horror-Thriller-end,6
Drama-Fantasy-Musical-Romance-end,1
Drama-Fantasy-Music-Romance-end,1
Drama-Fantasy-Mystery-Romance-end,1
Drama-Fantasy-Mystery-Romance-Thriller-end,1
Drama-Fantasy-Mystery-SciFi-end,1
Drama-Fantasy-Mystery-Thriller-end,3
Drama-Fantasy-Romance-end,13
Drama-Fantasy-Romance-SciFi-end,3
Drama-Fantasy-Romance-Thriller-end,1
Drama-Fantasy-Romance-War-end,1
Drama-Fantasy-SciFi-end,1
Drama-Fantasy-SciFi-Thriller-end,1
Drama-Fantasy-Sport-end,1
Drama-Fantasy-Thriller-end,2
Drama-Fantasy-War-end,1
Drama-Film-Noir-end,1
Drama-Film-Noir-Mystery-Thriller-end,1
Drama-History-end,10
Drama-History-Horror-end,1
Drama-History-Music-Romance-War-end,1
Drama-History-Romance-end,1
Drama-History-Romance-War-end,6
Drama-History-Romance-Western-end,1
Drama-History-Sport-end,4
Drama-History-Thriller-end,9
Drama-History-Thriller-War-end,5
Drama-History-War-end,20
Drama-History-War-Western-end,1
Drama-Horror-end,5
Drama-Horror-Mystery-end,2
Drama-Horror-Mystery-SciFi-end,1
Drama-Horror-Mystery-SciFi-Thriller-end,2
Drama-Horror-Mystery-Thriller-end,21
Drama-Horror-Romance-end,1
Drama-Horror-Romance-Thriller-end,2
Drama-Horror-SciFi-end,4
Drama-Horror-SciFi-Thriller-end,9
Drama-Horror-Thriller-end,13
Drama-Musical-end,4
Drama-Musical-Romance-end,9
Drama-Musical-Romance-Thriller-end,1
Drama-Musical-SciFi-end,1
Drama-Music-end,27
Drama-Music-Musical-end,1
Drama-Music-Musical-Romance-end,3
Drama-Music-Mystery-Romance-end,1
Drama-Music-Mystery-Romance-SciFi-end,1
Drama-Music-Mystery-Romance-Thriller-end,1
Drama-Music-Romance-end,18
Drama-Music-Romance-War-end,1
Drama-Mystery-end,10
Drama-Mystery-Romance-end,4
Drama-Mystery-Romance-SciFi-Thriller-end,1
Drama-Mystery-Romance-Thriller-end,10
Drama-Mystery-Romance-Thriller-War-end,1
Drama-Mystery-Romance-War-end,2
Drama-Mystery-SciFi-end,5
Drama-Mystery-SciFi-Thriller-end,13
Drama-Mystery-Thriller-end,36
Drama-Mystery-War-end,1
Drama-Romance-end,150
Drama-Romance-SciFi-end,10
Drama-Romance-SciFi-Thriller-end,2
Drama-Romance-Sport-end,6
Drama-Romance-Thriller-end,5
Drama-Romance-War-end,14
Drama-Romance-War-Western-end,2
Drama-Romance-Western-end,7
Drama-SciFi-end,10
Drama-SciFi-Thriller-end,13
Drama-Sport-end,26
Drama-Thriller-end,62
Drama-Thriller-War-end,3
Drama-War-end,23
Drama-War-Western-end,1
Drama-Western-end,7
Family-end,5
Family-Fantasy-Musical-end,1
Family-Fantasy-Music-end,1
Family-Musical-end,1
Family-Music-Romance-end,1
Family-SciFi-end,2
Fantasy-end,2
Fantasy-Horror-end,16
Fantasy-Horror-Mystery-end,2
Fantasy-Horror-Mystery-Romance-end,1
Fantasy-Horror-Mystery-Thriller-end,9
Fantasy-Horror-Romance-end,1
Fantasy-Horror-Romance-Thriller-end,1
Fantasy-Horror-SciFi-end,2
Fantasy-Horror-Thriller-end,9
Fantasy-Mystery-Romance-SciFi-Thriller-end,1
Fantasy-Mystery-Thriller-end,1
Fantasy-Romance-end,2
Fantasy-Thriller-end,1
Film-Noir-Mystery-Romance-Thriller-end,1
Game-Show-Reality-TV-Romance-end,1
History-end,1
Horror-end,67
Horror-Musical-end,1
Horror-Musical-SciFi-end,1
Horror-Mystery-end,29
Horror-Mystery-SciFi-end,3
Horror-Mystery-SciFi-Thriller-end,6
Horror-Mystery-Thriller-end,33
Horror-Romance-SciFi-end,1
Horror-Romance-Thriller-end,1
Horror-SciFi-end,9
Horror-SciFi-Short-Thriller-end,1
Horror-SciFi-Thriller-end,17
Horror-Thriller-end,52
Musical-end,1
Musical-Romance-end,3
Music-end,1
Mystery-Romance-SciFi-Thriller-end,1
Mystery-Romance-Thriller-end,2
Mystery-SciFi-Thriller-end,7
Mystery-Thriller-end,21
Mystery-Western-end,1
Romance-end,4
Romance-SciFi-Thriller-end,1
Romance-Short-end,1
SciFi-end,3
SciFi-Thriller-end,10
Thriller-end,19
Thriller-War-end,1
Thriller-Western-end,1
Western-end,12
