genres,N
Action-Animation-Comedy-Family-Fantasy-end,1
Action-Animation-Comedy-Family-Fantasy-SciFi-end,1
Action-Animation-Comedy-Family-SciFi-end,3
Action-Animation-Comedy-SciFi-end,1
Action-Animation-Crime-SciFi-Thriller-end,1
Action-Animation-Fantasy-Horror-Mystery-SciFi-Thriller-end,1
Action-Animation-SciFi-end,1
Action-Animation-SciFi-Thriller-end,1
Action-Biography-Crime-Drama-end,3
Action-Biography-Crime-Drama-Family-Fantasy-end,1
Action-Biography-Crime-Drama-Thriller-end,1
Action-Biography-Documentary-Sport-end,1
Action-Biography-Drama-end,1
Action-Biography-Drama-History-end,2
Action-Biography-Drama-History-Romance-War-end,1
Action-Biography-Drama-History-Romance-Western-end,1
Action-Biography-Drama-History-Thriller-War-end,1
Action-Biography-Drama-History-War-end,1
Action-Biography-Drama-Sport-end,3
Action-Biography-Drama-Thriller-War-end,1
Action-Comedy-Crime-Drama-end,2
Action-Comedy-Crime-Drama-Romance-Thriller-end,1
Action-Comedy-Crime-Drama-Thriller-end,7
Action-Comedy-Crime-end,30
Action-Comedy-Crime-Family-end,1
Action-Comedy-Crime-Fantasy-end,2
Action-Comedy-Crime-Fantasy-Horror-Mystery-SciFi-Thriller-end,1
Action-Comedy-Crime-Music-end,1
Action-Comedy-Crime-Music-Romance-Thriller-end,1
Action-Comedy-Crime-Romance-end,2
Action-Comedy-Crime-Romance-Thriller-end,3
Action-Comedy-Crime-SciFi-Thriller-end,1
Action-Comedy-Crime-Thriller-end,23
Action-Comedy-Crime-Western-end,1
Action-Comedy-Documentary-end,2
Action-Comedy-Drama-end,1
Action-Comedy-Drama-Family-Thriller-end,1
Action-Comedy-Drama-Music-end,1
Action-Comedy-Drama-SciFi-end,1
Action-Comedy-Drama-Thriller-end,2
Action-Comedy-Drama-War-end,1
Action-Comedy-Drama-Western-end,1
Action-Comedy-end,15
Action-Comedy-Family-end,2
Action-Comedy-Family-Fantasy-end,2
Action-Comedy-Fantasy-end,3
Action-Comedy-Fantasy-Horror-end,1
Action-Comedy-Fantasy-Romance-end,1
Action-Comedy-Fantasy-SciFi-end,3
Action-Comedy-Horror-end,4
Action-Comedy-Horror-SciFi-end,2
Action-Comedy-Horror-Thriller-end,1
Action-Comedy-Music-end,1
Action-Comedy-Mystery-end,1
Action-Comedy-Mystery-Romance-end,1
Action-Comedy-Romance-end,6
Action-Comedy-Romance-Thriller-end,2
Action-Comedy-SciFi-end,7
Action-Comedy-SciFi-Sport-end,1
Action-Comedy-SciFi-Thriller-end,2
Action-Comedy-SciFi-Western-end,1
Action-Comedy-Sport-end,3
Action-Comedy-Thriller-end,4
Action-Comedy-War-end,2
Action-Crime-Drama-end,5
Action-Crime-Drama-History-Western-end,1
Action-Crime-Drama-Mystery-end,1
Action-Crime-Drama-Mystery-SciFi-Thriller-end,1
Action-Crime-Drama-Mystery-Thriller-end,22
